# 	S_0	S_1	S_2	S_3	S_4	S_5	S_6	S_7	S_8	S_9	S_10	S_11	S_12	S_13	S_14	S_15	S_16	S_17	S_18	S_19	S_20	S_21	S_22	S_23	S_24	S_25	S_26	S_27	S_28	S_29	S_30	S_31	S_32	S_33	S_34	S_35	S_36	S_37	S_38	S_39	S_40	S_41	S_42	S_43	S_44	S_45	S_46	S_47	S_48	S_49	S_50	S_51	S_52	S_53	S_54	S_55	S_56	S_57	S_58	S_59	S_60	S_61	S_62	S_63	S_64	S_65	S_66	S_67	S_68	S_69	S_70	S_71	S_72	S_73	S_74	S_75	S_76	S_77	S_78	S_79	S_80	S_81	S_82	S_83	S_84	S_85	S_86	S_87	S_88	S_89	S_90	S_91	S_92	S_93	S_94	S_95	S_96	S_97	S_98	S_99
n0_0        	0.13286     	0.14543     	0.15323     	0.16467     	0.17072     	0.17459     	0.1797      	0.18753     	0.19305     	0.20178     	0.20264     	0.20234     	0.20771     	0.20916     	0.21309     	0.21328     	0.21251     	0.21712     	0.2162      	0.21806     	0.21949     	0.2188      	0.2196      	0.21568     	0.21971     	0.22082     	0.21917     	0.21871     	0.22072     	0.22668     	0.23262     	0.23087     	0.23486     	0.23983     	0.24187     	0.24103     	0.24172     	0.2437      	0.24566     	0.24837     	0.2502      	0.24935     	0.2452      	0.24398     	0.24785     	0.24554     	0.24902     	0.24673     	0.24976     	0.24435     	0.24484     	0.24333     	0.24893     	0.25065     	0.24937     	0.24776     	0.24082     	0.24119     	0.24162     	0.24156     	0.24109     	0.24484     	0.23897     	0.24174     	0.23957     	0.24116     	0.2415      	0.2415      	0.23771     	0.23993     	0.23866     	0.24208     	0.24426     	0.24308     	0.24404     	0.2423      	0.24104     	0.23892     	0.23774     	0.23221     	0.23568     	0.2342      	0.23835     	0.23207     	0.23007     	0.22584     	0.23358     	0.2299      	0.22935     	0.23237     	0.23328     	0.23479     	0.23551     	0.23786     	0.23535     	0.23533     	0.23452     	0.23251     	0.23684     	0.23373     
n0_1        	0.06953     	0.07602     	0.08079     	0.0863      	0.09001     	0.09369     	0.09477     	0.09751     	0.09876     	0.09981     	0.10065     	0.09789     	0.10143     	0.10339     	0.10305     	0.10256     	0.10144     	0.10185     	0.10529     	0.10258     	0.10363     	0.10324     	0.10309     	0.10013     	0.09941     	0.09991     	0.10159     	0.101       	0.10263     	0.1004      	0.09838     	0.09866     	0.09798     	0.09758     	0.09702     	0.09763     	0.09612     	0.09602     	0.09256     	0.08906     	0.08825     	0.08689     	0.08694     	0.08579     	0.0858      	0.08365     	0.08469     	0.08315     	0.08428     	0.08388     	0.08232     	0.0815      	0.07755     	0.08082     	0.07968     	0.07738     	0.07987     	0.0804      	0.07867     	0.07709     	0.07972     	0.07836     	0.08137     	0.079       	0.08041     	0.07949     	0.07879     	0.07796     	0.07879     	0.07733     	0.07632     	0.07409     	0.07468     	0.07448     	0.07416     	0.07422     	0.07249     	0.07425     	0.07181     	0.07335     	0.0707      	0.07326     	0.07132     	0.07074     	0.07005     	0.06886     	0.06992     	0.06895     	0.06795     	0.06874     	0.06597     	0.06675     	0.0676      	0.06506     	0.0659      	0.06733     	0.06683     	0.06661     	0.06603     	0.0642      
n0_2        	0.01148     	0.01263     	0.01258     	0.01218     	0.01315     	0.01442     	0.01349     	0.01436     	0.01504     	0.01468     	0.01548     	0.01512     	0.01569     	0.01536     	0.01533     	0.01586     	0.01596     	0.01679     	0.01632     	0.01701     	0.01645     	0.01701     	0.01686     	0.0173      	0.01809     	0.01839     	0.01734     	0.01795     	0.01841     	0.0188      	0.01838     	0.01828     	0.0196      	0.01909     	0.01901     	0.01831     	0.01845     	0.01802     	0.01836     	0.01914     	0.01968     	0.02058     	0.02024     	0.02071     	0.01991     	0.02117     	0.02003     	0.01988     	0.02057     	0.02043     	0.02118     	0.02023     	0.02044     	0.021       	0.02127     	0.02105     	0.02057     	0.02099     	0.02063     	0.02103     	0.02171     	0.02062     	0.02186     	0.02066     	0.02089     	0.02222     	0.02117     	0.02069     	0.02072     	0.0217      	0.02139     	0.02077     	0.01986     	0.0207      	0.02052     	0.01995     	0.02044     	0.01987     	0.01965     	0.01967     	0.01963     	0.01871     	0.01945     	0.02002     	0.01886     	0.01942     	0.01873     	0.01928     	0.01993     	0.01873     	0.01943     	0.01924     	0.0189      	0.01897     	0.01958     	0.01884     	0.01932     	0.0187      	0.01839     	0.01833     
n0_3        	0.11783     	0.11202     	0.1084      	0.10653     	0.10121     	0.10064     	0.09612     	0.09428     	0.09234     	0.09056     	0.09193     	0.09146     	0.0919      	0.09252     	0.09045     	0.09117     	0.09109     	0.09123     	0.09219     	0.0926      	0.09341     	0.09215     	0.09325     	0.09352     	0.09356     	0.09533     	0.09648     	0.09623     	0.09835     	0.09923     	0.09559     	0.09862     	0.09745     	0.09883     	0.09936     	0.09932     	0.0996      	0.09884     	0.10114     	0.10281     	0.10321     	0.1058      	0.10647     	0.1075      	0.10665     	0.11033     	0.10859     	0.10983     	0.11041     	0.11305     	0.11336     	0.11614     	0.11554     	0.11498     	0.11839     	0.12126     	0.11879     	0.12241     	0.1248      	0.1246      	0.12585     	0.12239     	0.12437     	0.12502     	0.12707     	0.12512     	0.1261      	0.13076     	0.13129     	0.13343     	0.13461     	0.13573     	0.13627     	0.13925     	0.13736     	0.13922     	0.14215     	0.14342     	0.14115     	0.14248     	0.14552     	0.14771     	0.14701     	0.14775     	0.14624     	0.14713     	0.1448      	0.14417     	0.14382     	0.14565     	0.14394     	0.14465     	0.14676     	0.14802     	0.14914     	0.149       	0.1474      	0.14943     	0.14948     	0.15434     
n0_4        	0.03545     	0.03615     	0.03577     	0.03727     	0.03734     	0.03528     	0.03701     	0.03735     	0.03676     	0.03734     	0.03734     	0.036       	0.0364      	0.03642     	0.03631     	0.0361      	0.03654     	0.03695     	0.0376      	0.03777     	0.03794     	0.03755     	0.03824     	0.03952     	0.04001     	0.04121     	0.03914     	0.03965     	0.04114     	0.03988     	0.04066     	0.04013     	0.04144     	0.04196     	0.04256     	0.04331     	0.04117     	0.04341     	0.04309     	0.04437     	0.04414     	0.04598     	0.04666     	0.04466     	0.04678     	0.04571     	0.04695     	0.04702     	0.04617     	0.04676     	0.04896     	0.04869     	0.04821     	0.04792     	0.04933     	0.05067     	0.05112     	0.05177     	0.05217     	0.05275     	0.05349     	0.05642     	0.05666     	0.05625     	0.05892     	0.05633     	0.05841     	0.05741     	0.05791     	0.05708     	0.05776     	0.05813     	0.05753     	0.05978     	0.0586      	0.05916     	0.0596      	0.05889     	0.05886     	0.06009     	0.06039     	0.06025     	0.06011     	0.06132     	0.06301     	0.06488     	0.06374     	0.06433     	0.06431     	0.06227     	0.06568     	0.06471     	0.06467     	0.06409     	0.06286     	0.06268     	0.0641      	0.06674     	0.06503     	0.06696     
n0_5        	0.13416     	0.1274      	0.12236     	0.1131      	0.10795     	0.10488     	0.10185     	0.09659     	0.09391     	0.0939      	0.08817     	0.08604     	0.08159     	0.08246     	0.08063     	0.0775      	0.0764      	0.07593     	0.07404     	0.07285     	0.07115     	0.07201     	0.06865     	0.0675      	0.06627     	0.06625     	0.066       	0.06339     	0.06173     	0.06065     	0.06136     	0.06119     	0.06007     	0.06009     	0.05786     	0.05813     	0.05814     	0.05792     	0.05915     	0.05761     	0.05782     	0.05634     	0.0545      	0.05777     	0.05501     	0.05584     	0.05506     	0.05636     	0.05469     	0.05418     	0.05487     	0.05358     	0.0527      	0.05316     	0.05216     	0.05281     	0.05375     	0.05425     	0.05431     	0.05355     	0.05315     	0.05456     	0.05505     	0.05396     	0.05422     	0.05566     	0.05475     	0.05193     	0.05338     	0.05475     	0.05391     	0.05463     	0.05404     	0.05337     	0.05316     	0.05462     	0.05437     	0.05317     	0.05549     	0.05681     	0.05621     	0.05702     	0.05516     	0.05663     	0.05579     	0.05562     	0.05576     	0.05685     	0.05537     	0.05343     	0.05367     	0.05351     	0.05163     	0.05198     	0.05313     	0.05336     	0.05507     	0.05404     	0.05352     	0.05549     
n0_6        	0.01836     	0.01949     	0.0208      	0.02069     	0.02149     	0.02248     	0.02321     	0.02286     	0.02343     	0.02274     	0.02301     	0.02497     	0.02491     	0.0245      	0.02583     	0.0266      	0.02619     	0.02716     	0.02648     	0.02758     	0.02819     	0.02986     	0.03018     	0.03087     	0.03254     	0.03094     	0.03204     	0.03347     	0.03239     	0.03253     	0.03282     	0.03225     	0.03225     	0.0321      	0.03336     	0.03307     	0.03382     	0.03462     	0.03551     	0.03613     	0.03719     	0.03696     	0.03852     	0.03875     	0.0376      	0.03808     	0.04024     	0.04102     	0.04223     	0.04367     	0.04257     	0.0436      	0.04398     	0.04567     	0.04504     	0.04676     	0.04591     	0.04553     	0.04532     	0.04527     	0.04603     	0.04634     	0.04804     	0.04793     	0.04614     	0.04748     	0.04946     	0.04884     	0.05017     	0.04835     	0.05056     	0.05142     	0.0521      	0.0518      	0.05293     	0.05325     	0.053       	0.05381     	0.05464     	0.05515     	0.05491     	0.05446     	0.05465     	0.0554      	0.05629     	0.05682     	0.05751     	0.05789     	0.05956     	0.05839     	0.06069     	0.0586      	0.05813     	0.05919     	0.06172     	0.06112     	0.06119     	0.06347     	0.06287     	0.06586     
n0_7        	0.03829     	0.04192     	0.04334     	0.04551     	0.04723     	0.04766     	0.05016     	0.05025     	0.05234     	0.05188     	0.05077     	0.0519      	0.05109     	0.05195     	0.0536      	0.05361     	0.05371     	0.05157     	0.05148     	0.05136     	0.05202     	0.05205     	0.05193     	0.05312     	0.04989     	0.05102     	0.05133     	0.05134     	0.05122     	0.05096     	0.05043     	0.05017     	0.05052     	0.05042     	0.04933     	0.04727     	0.049       	0.04893     	0.04904     	0.04949     	0.04767     	0.04975     	0.04931     	0.04938     	0.04958     	0.04905     	0.04939     	0.05015     	0.05101     	0.04971     	0.05038     	0.04971     	0.04825     	0.04972     	0.05023     	0.05128     	0.05027     	0.05078     	0.05192     	0.05213     	0.05243     	0.05253     	0.05107     	0.05202     	0.0513      	0.0514      	0.05088     	0.05021     	0.05183     	0.051       	0.05072     	0.04908     	0.04806     	0.04818     	0.04936     	0.04765     	0.04686     	0.04762     	0.04726     	0.04816     	0.04665     	0.04534     	0.04693     	0.04518     	0.0459      	0.04657     	0.04747     	0.0476      	0.0456      	0.04634     	0.04655     	0.04568     	0.04555     	0.04633     	0.04516     	0.04488     	0.04603     	0.04399     	0.04496     	0.04494     
n0_8        	0.16168     	0.17878     	0.19735     	0.20755     	0.2183      	0.2278      	0.23639     	0.24173     	0.24536     	0.24366     	0.25156     	0.26021     	0.26133     	0.26046     	0.26091     	0.26823     	0.27378     	0.27393     	0.27711     	0.28004     	0.27876     	0.28436     	0.28704     	0.29308     	0.29334     	0.29036     	0.29262     	0.29634     	0.29582     	0.29515     	0.2959      	0.29704     	0.29398     	0.29155     	0.2942      	0.29623     	0.29756     	0.29471     	0.29187     	0.28897     	0.28897     	0.28649     	0.28936     	0.29273     	0.29158     	0.29311     	0.28876     	0.28973     	0.28664     	0.28844     	0.28969     	0.29024     	0.29094     	0.2857      	0.28542     	0.28228     	0.28958     	0.28157     	0.28359     	0.28358     	0.27966     	0.27647     	0.2752      	0.27806     	0.27709     	0.27589     	0.276       	0.27645     	0.2755      	0.27273     	0.27472     	0.27417     	0.27349     	0.27217     	0.27086     	0.27122     	0.27374     	0.27486     	0.27575     	0.27534     	0.27401     	0.27385     	0.27309     	0.2754      	0.27829     	0.27999     	0.27417     	0.27825     	0.27892     	0.28062     	0.27662     	0.28086     	0.27902     	0.27801     	0.27636     	0.27636     	0.27645     	0.27478     	0.27376     	0.26674     
n0_9        	0.28036     	0.25016     	0.22538     	0.2062      	0.1926      	0.17856     	0.1673      	0.15754     	0.14901     	0.14365     	0.13845     	0.13407     	0.12795     	0.12378     	0.1208      	0.11509     	0.11238     	0.10747     	0.10329     	0.10015     	0.09896     	0.09297     	0.09116     	0.08928     	0.08718     	0.08577     	0.08429     	0.08192     	0.07759     	0.07572     	0.07386     	0.07279     	0.07185     	0.06855     	0.06543     	0.0657      	0.06442     	0.06383     	0.06362     	0.06405     	0.06287     	0.06186     	0.0628      	0.05873     	0.05924     	0.05752     	0.05727     	0.05613     	0.05424     	0.05553     	0.05183     	0.05298     	0.05346     	0.05038     	0.04911     	0.04875     	0.04932     	0.05111     	0.04697     	0.04844     	0.04687     	0.04747     	0.04741     	0.04536     	0.04439     	0.04525     	0.04294     	0.04425     	0.0427      	0.0437      	0.04135     	0.0399      	0.03971     	0.03719     	0.03901     	0.03841     	0.03631     	0.03519     	0.03765     	0.03674     	0.0363      	0.0352      	0.03393     	0.03549     	0.0355      	0.03487     	0.03432     	0.03278     	0.03519     	0.03346     	0.03417     	0.03121     	0.03223     	0.03049     	0.0308      	0.0311      	0.02909     	0.02973     	0.02912     	0.02941     
